name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J004231.1+411621,XB,HMXB,97,0.056±0.152,0.156±0.209,0.079±0.151,0.04±0.106,0.241±0.215,0.213±0.228,0.142±0.222,0.024±0.066,0.004±0.016,0.044±0.164,10.629760440205644,41.27266631918941
2CXO J004248.5+411521,XB,HMXB,93,0.039±0.107,0.113±0.175,0.121±0.174,0.091±0.193,0.274±0.254,0.159±0.185,0.169±0.242,0.012±0.031,0.003±0.014,0.019±0.099,10.702240591652467,41.255899202108125
2CXO J123049.3+122328,Seyfert,Seyfert_1,85,0.113±0.249,0.138±0.241,0.467±0.397,0.102±0.251,0.021±0.106,0.017±0.115,0.023±0.121,0.035±0.128,0.024±0.106,0.059±0.184,187.7057432929776,12.391164553397632
2CXO J004254.9+411603,XB,HMXB,84,0.053±0.165,0.096±0.147,0.065±0.119,0.093±0.219,0.309±0.256,0.179±0.186,0.152±0.201,0.032±0.125,0.008±0.041,0.013±0.035,10.728915681352191,41.267569744193565
2CXO J004232.0+411314,XB,HMXB,80,0.014±0.081,0.059±0.142,0.153±0.262,0.257±0.348,0.335±0.367,0.094±0.192,0.07±0.179,0.006±0.032,0.0±0.001,0.012±0.105,10.63362762545853,41.22064895084846
2CXO J004247.1+411628,XB,HMXB,71,0.054±0.177,0.078±0.142,0.076±0.157,0.071±0.185,0.284±0.263,0.179±0.234,0.161±0.235,0.039±0.119,0.002±0.006,0.057±0.196,10.696564875665842,41.27454559893372
2CXO J004213.1+411836,YSO,YSO,71,0.0±0.002,0.0±0.0,0.0±0.0,0.0±0.002,0.003±0.014,0.027±0.157,0.0±0.0,0.505±0.374,0.11±0.207,0.355±0.35,10.554774244531757,41.31011501439757
2CXO J004257.9+411104,AGN,AGN,60,0.062±0.106,0.194±0.238,0.097±0.16,0.101±0.227,0.183±0.233,0.109±0.173,0.141±0.234,0.028±0.098,0.029±0.097,0.056±0.177,10.741293147422198,41.184681584956266
2CXO J123049.4+122327,AGN,AGN,57,0.229±0.279,0.267±0.344,0.188±0.249,0.096±0.244,0.015±0.096,0.035±0.184,0.0±0.003,0.121±0.323,0.009±0.067,0.039±0.172,187.7059656321429,12.391068988576222
2CXO J123048.6+122332,Seyfert,Seyfert_1,53,0.109±0.251,0.242±0.361,0.315±0.409,0.035±0.128,0.074±0.219,0.015±0.102,0.004±0.028,0.037±0.122,0.066±0.214,0.104±0.251,187.70262374643573,12.392344524727273
2CXO J053747.4-691019,XB,HMXB,34,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.661±0.325,0.028±0.159,0.0±0.0,0.229±0.248,0.001±0.003,0.081±0.234,84.44752088220577,-69.1721821840083
2CXO J004248.4+412521,XB,HMXB,31,0.015±0.077,0.026±0.049,0.002±0.007,0.076±0.227,0.467±0.362,0.113±0.226,0.092±0.248,0.099±0.181,0.023±0.081,0.089±0.248,10.701966962385027,41.42275434165829
2CXO J053842.3-690602,YSO,YSO,29,0.001±0.003,0.01±0.042,0.0±0.0,0.0±0.0,0.033±0.164,0.007±0.037,0.0±0.001,0.504±0.351,0.048±0.097,0.397±0.337,84.67663236689538,-69.10075962515376
2CXO J232327.9+584842,XB,LMXB,25,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.991±0.042,0.0±0.0,0.003±0.011,0.0±0.0,0.007±0.031,350.8664606526677,58.81177937787475
2CXO J232328.8+584943,XB,LMXB,25,0.0±0.0,0.08±0.271,0.0±0.0,0.0±0.0,0.024±0.116,0.896±0.288,0.0±0.0,0.0±0.002,0.0±0.0,0.0±0.0,350.87032684274845,58.82863055069596
2CXO J004247.8+411532,Seyfert,Seyfert_1,24,0.194±0.279,0.134±0.2,0.24±0.314,0.109±0.239,0.072±0.123,0.05±0.12,0.089±0.222,0.028±0.078,0.004±0.013,0.082±0.202,10.699554878770924,41.25914376340425
2CXO J004239.9+411547,AGN,QSO,22,0.295±0.282,0.225±0.224,0.174±0.224,0.015±0.038,0.194±0.247,0.045±0.09,0.033±0.054,0.006±0.021,0.007±0.031,0.006±0.025,10.666646569143891,41.263199005670494
2CXO J004353.6+411655,YSO,Orion_V*,21,0.005±0.016,0.029±0.095,0.008±0.031,0.002±0.007,0.282±0.32,0.046±0.14,0.054±0.138,0.086±0.16,0.042±0.106,0.446±0.362,10.973591924171274,41.28207211298943
2CXO J004245.1+411621,Seyfert,Seyfert_1,19,0.159±0.223,0.174±0.247,0.183±0.246,0.078±0.137,0.091±0.167,0.137±0.2,0.11±0.235,0.005±0.021,0.0±0.0,0.062±0.189,10.687979346386951,41.27268204164101
2CXO J141946.3+525942,YSO,YSO,19,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.147±0.286,0.063±0.159,0.0±0.0,0.421±0.409,0.227±0.387,0.142±0.251,214.94320671611968,52.99515815544124
2CXO J053754.3-690222,XB,HMXB,18,0.0±0.0,0.007±0.011,0.0±0.0,0.089±0.237,0.57±0.39,0.173±0.311,0.001±0.002,0.098±0.243,0.002±0.005,0.06±0.228,84.47641923012264,-69.03945565541486
2CXO J161736.2-510224,XB,LMXB,18,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.555±0.488,0.0±0.0,0.444±0.486,0.0±0.0,0.001±0.003,244.4009266728549,-51.04021998478135
2CXO J095510.2+690502,XB,HMXB,17,0.002±0.004,0.026±0.057,0.04±0.066,0.076±0.188,0.459±0.34,0.174±0.218,0.201±0.26,0.002±0.007,0.0±0.0,0.02±0.079,148.79280548958104,69.08395817095402
2CXO J031948.2+413042,Seyfert,Seyfert_2,17,0.032±0.127,0.041±0.096,0.126±0.253,0.345±0.433,0.257±0.323,0.081±0.202,0.118±0.24,0.0±0.001,0.0±0.0,0.0±0.0,49.95102938880001,41.511866211400005
2CXO J053840.2-690559,YSO,Orion_V*,17,0.006±0.022,0.03±0.069,0.0±0.002,0.0±0.0,0.005±0.016,0.013±0.044,0.004±0.014,0.274±0.282,0.211±0.247,0.457±0.309,84.66767904894607,-69.09992726712227
2CXO J140414.2+542604,YSO,Orion_V*,16,0.0±0.0,0.0±0.001,0.0±0.0,0.0±0.0,0.021±0.074,0.158±0.277,0.0±0.0,0.232±0.23,0.082±0.176,0.507±0.299,211.05917873416763,54.43459175046563
2CXO J053958.7-690609,XB,HMXB,16,0.039±0.149,0.007±0.023,0.027±0.089,0.026±0.099,0.81±0.326,0.061±0.208,0.0±0.0,0.01±0.023,0.008±0.032,0.011±0.03,84.99482510836731,-69.10277280366309
2CXO J232325.8+585004,XB,LMXB,15,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.003,0.515±0.485,0.0±0.0,0.392±0.48,0.001±0.003,0.091±0.251,350.8575198520173,58.83454372127424
2CXO J004240.6+411327,Seyfert,Seyfert_2,14,0.113±0.146,0.165±0.186,0.221±0.161,0.255±0.262,0.143±0.193,0.05±0.073,0.045±0.068,0.001±0.002,0.005±0.019,0.001±0.002,10.669424380952478,41.22426086625117
2CXO J095551.4+694036,XB,HMXB,13,0.063±0.179,0.012±0.02,0.018±0.042,0.02±0.048,0.694±0.327,0.057±0.077,0.004±0.012,0.045±0.094,0.0±0.0,0.086±0.172,148.9644997192155,69.67666978941246
2CXO J013253.9+303311,AGN,AGN,13,0.189±0.195,0.238±0.175,0.108±0.133,0.177±0.295,0.153±0.264,0.043±0.113,0.082±0.265,0.0±0.001,0.009±0.026,0.001±0.004,23.22460729303037,30.55326774333201
2CXO J004334.3+411323,AGN,AGN,13,0.095±0.112,0.329±0.279,0.071±0.144,0.062±0.195,0.181±0.214,0.093±0.155,0.021±0.027,0.035±0.066,0.024±0.04,0.09±0.169,10.893006282951148,41.22318042878689
2CXO J191116.0+003505,YSO,YSO,13,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.162±0.356,0.077±0.266,0.0±0.0,0.657±0.442,0.014±0.039,0.091±0.206,287.81676894637235,0.5849783204994735
2CXO J010027.4-335111,AGN,QSO,13,0.403±0.39,0.016±0.038,0.225±0.308,0.0±0.0,0.151±0.292,0.006±0.019,0.001±0.002,0.083±0.174,0.068±0.13,0.048±0.095,15.11441617424731,-33.853257412390164
2CXO J004245.9+411036,YSO,Orion_V*,13,0.001±0.004,0.045±0.072,0.0±0.0,0.027±0.086,0.13±0.28,0.002±0.003,0.008±0.023,0.182±0.23,0.032±0.054,0.573±0.356,10.6914697896932,41.17684310140121
2CXO J174805.3-244637,XB,LMXB,12,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.002,0.931±0.088,0.0±0.0,0.021±0.045,0.0±0.0,0.047±0.078,267.022481210793,-24.77716449590396
2CXO J083453.0-451255,XB,HMXB,12,0.0±0.0,0.0±0.001,0.0±0.0,0.001±0.004,0.888±0.245,0.073±0.198,0.0±0.0,0.004±0.01,0.002±0.003,0.032±0.062,128.7208414564627,-45.21527940741236
2CXO J004232.7+411310,XB,HMXB,12,0.006±0.019,0.05±0.129,0.028±0.089,0.042±0.133,0.722±0.41,0.042±0.101,0.022±0.054,0.004±0.009,0.083±0.274,0.0±0.001,10.63648077246802,41.219675158312455
2CXO J133704.3-295121,YSO,Orion_V*,12,0.161±0.36,0.005±0.011,0.0±0.0,0.076±0.253,0.158±0.272,0.003±0.01,0.0±0.0,0.131±0.143,0.057±0.072,0.408±0.347,204.2682508893804,-29.856001356328
2CXO J123049.0+122329,YSO,Orion_V*,12,0.077±0.119,0.041±0.118,0.14±0.283,0.081±0.242,0.074±0.143,0.064±0.208,0.0±0.001,0.061±0.094,0.102±0.214,0.361±0.347,187.70439772586337,12.391645553995772
2CXO J095550.2+694045,XB,LMXB,12,0.0±0.0,0.083±0.161,0.171±0.233,0.037±0.071,0.156±0.315,0.448±0.383,0.0±0.0,0.1±0.277,0.0±0.0,0.005±0.016,148.95941271691743,69.67933448501587
2CXO J133704.2-295403,YSO,Orion_V*,12,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.041±0.121,0.0±0.001,0.0±0.0,0.31±0.277,0.217±0.243,0.432±0.344,204.26786550539973,-29.901065417619137
2CXO J004144.7+411112,YSO,Orion_V*,12,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.088±0.199,0.001±0.003,0.0±0.0,0.286±0.335,0.229±0.302,0.395±0.319,10.436258434698516,41.18683716909748
2CXO J133659.4-294959,XB,HMXB,12,0.001±0.001,0.036±0.045,0.213±0.231,0.088±0.163,0.336±0.246,0.09±0.138,0.234±0.271,0.002±0.004,0.0±0.0,0.0±0.0,204.24775192614675,-29.83309051112523
2CXO J004244.3+411605,AGN,QSO,12,0.3±0.337,0.143±0.162,0.036±0.048,0.01±0.025,0.21±0.296,0.04±0.05,0.016±0.027,0.096±0.198,0.082±0.262,0.067±0.144,10.684874161041192,41.26814116838195
2CXO J004242.9+411543,Seyfert,Seyfert_1,12,0.035±0.044,0.084±0.109,0.273±0.195,0.146±0.228,0.177±0.144,0.081±0.074,0.18±0.273,0.0±0.0,0.0±0.0,0.022±0.069,10.67916599922762,41.26198028316132
2CXO J004329.1+410748,XB,HMXB,12,0.003±0.006,0.066±0.109,0.088±0.199,0.015±0.031,0.819±0.307,0.008±0.015,0.0±0.001,0.0±0.0,0.0±0.0,0.001±0.002,10.8713750695336,41.13000314654754
2CXO J133701.6-294742,XB,HMXB,11,0.0±0.0,0.02±0.035,0.004±0.011,0.054±0.09,0.555±0.36,0.095±0.164,0.011±0.02,0.186±0.307,0.026±0.081,0.049±0.12,204.2568303138356,-29.795241623215496
2CXO J133702.0-295518,Seyfert,Seyfert_2,11,0.0±0.0,0.098±0.244,0.086±0.268,0.439±0.465,0.291±0.396,0.069±0.201,0.016±0.028,0.0±0.0,0.0±0.0,0.0±0.0,204.2584113490866,-29.92170730993552
2CXO J053501.0-052410,YSO,Orion_V*,11,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.005±0.011,0.0±0.0,0.0±0.0,0.304±0.282,0.127±0.148,0.565±0.318,83.75429778732041,-5.402842439539002
2CXO J004242.3+411445,AGN,QSO,11,0.442±0.211,0.188±0.148,0.249±0.127,0.058±0.154,0.008±0.01,0.054±0.171,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,10.676383504789442,41.24595724801966
2CXO J053520.4-052329,YSO,Orion_V*,11,0.0±0.0,0.001±0.002,0.0±0.0,0.0±0.0,0.131±0.285,0.004±0.012,0.0±0.0,0.374±0.362,0.073±0.142,0.418±0.379,83.83527718388848,-5.391599998001468
2CXO J175233.2-293946,YSO,Orion_V*,11,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.013±0.035,0.09±0.286,0.0±0.0,0.326±0.41,0.003±0.004,0.567±0.429,268.1387436555606,-29.662800134736084
2CXO J133643.5-295107,XB,HMXB,11,0.003±0.008,0.022±0.048,0.004±0.011,0.139±0.295,0.619±0.336,0.15±0.204,0.0±0.0,0.039±0.078,0.0±0.0,0.025±0.063,204.18136503675944,-29.85198061443489
2CXO J133659.7-295205,XB,LMXB,11,0.009±0.011,0.042±0.089,0.052±0.1,0.073±0.204,0.226±0.198,0.392±0.285,0.195±0.276,0.001±0.003,0.001±0.002,0.009±0.028,204.24907705342025,-29.86822738355499
2CXO J133659.9-295150,XB,HMXB,11,0.011±0.018,0.04±0.076,0.041±0.064,0.051±0.096,0.507±0.225,0.13±0.113,0.217±0.176,0.003±0.005,0.0±0.0,0.0±0.0,204.24994416506024,-29.86400838373872
2CXO J133700.6-295319,XB,HMXB,11,0.013±0.019,0.112±0.1,0.02±0.015,0.024±0.035,0.47±0.147,0.269±0.115,0.089±0.071,0.002±0.002,0.0±0.0,0.0±0.0,204.25268766045247,-29.888875712874302
2CXO J053515.2-052256,YSO,Orion_V*,11,0.0±0.0,0.0±0.001,0.0±0.0,0.001±0.002,0.231±0.382,0.031±0.07,0.001±0.002,0.103±0.283,0.105±0.248,0.528±0.468,83.81365171609707,-5.382472939934749
2CXO J133703.8-294930,XB,HMXB,11,0.015±0.029,0.087±0.146,0.107±0.234,0.078±0.211,0.378±0.331,0.214±0.291,0.111±0.138,0.0±0.0,0.01±0.03,0.0±0.0,204.2661750960391,-29.82511009564996
2CXO J133701.4-295326,YSO,YSO,11,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.041±0.126,0.091±0.287,0.0±0.0,0.702±0.358,0.044±0.112,0.123±0.279,204.2561762757539,-29.89077140706144
2CXO J133657.2-295339,XB,HMXB,11,0.004±0.007,0.111±0.122,0.046±0.096,0.018±0.03,0.425±0.165,0.21±0.172,0.185±0.205,0.0±0.001,0.0±0.001,0.0±0.0,204.2386371058532,-29.89436025040951
2CXO J181129.2-192527,XB,LMXB,11,0.0±0.0,0.013±0.01,0.001±0.002,0.075±0.092,0.003±0.007,0.86±0.177,0.0±0.0,0.0±0.0,0.048±0.133,0.0±0.0,272.8718891922301,-19.4242218421464
2CXO J013328.6+302723,Seyfert,Seyfert_1,11,0.043±0.127,0.041±0.075,0.579±0.36,0.036±0.041,0.203±0.317,0.054±0.14,0.037±0.053,0.006±0.012,0.0±0.0,0.001±0.001,23.369485840155,30.45665354492028
2CXO J013324.4+304402,XB,HMXB,11,0.005±0.007,0.02±0.024,0.002±0.004,0.208±0.343,0.429±0.376,0.057±0.105,0.009±0.013,0.094±0.135,0.004±0.01,0.172±0.277,23.351726468388165,30.734037449933165
2CXO J132522.8-430124,XB,HMXB,10,0.004±0.011,0.016±0.025,0.121±0.28,0.062±0.118,0.428±0.324,0.235±0.267,0.107±0.143,0.024±0.036,0.0±0.0,0.003±0.006,201.34532051079395,-43.02354989747026
2CXO J142047.5+525806,XB,HMXB,10,0.044±0.106,0.225±0.36,0.146±0.295,0.007±0.012,0.346±0.412,0.042±0.075,0.106±0.208,0.085±0.255,0.0±0.0,0.0±0.0,215.19815218577745,52.96860604477365
2CXO J132528.6-430100,YSO,YSO,10,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.288±0.372,0.004±0.013,0.0±0.0,0.56±0.41,0.009±0.018,0.139±0.278,201.36958277142844,-43.01672317881246
2CXO J174802.6-244602,YSO,YSO,10,0.0±0.0,0.183±0.196,0.004±0.008,0.022±0.046,0.119±0.295,0.161±0.211,0.0±0.0,0.33±0.44,0.08±0.202,0.101±0.3,267.01104465947503,-24.76742821717493
2CXO J132528.7-425948,XB,HMXB,10,0.033±0.032,0.235±0.191,0.011±0.011,0.002±0.003,0.353±0.24,0.282±0.199,0.081±0.101,0.004±0.009,0.0±0.0,0.0±0.0,201.3697623200851,-42.99670952806053
2CXO J132528.8-430056,YSO,YSO,10,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.253±0.283,0.136±0.272,0.0±0.0,0.467±0.373,0.001±0.004,0.142±0.289,201.37038720508644,-43.01583091451732
2CXO J132532.0-430037,XB,HMXB,10,0.034±0.031,0.141±0.136,0.182±0.125,0.142±0.232,0.227±0.157,0.183±0.281,0.08±0.091,0.005±0.007,0.0±0.0,0.004±0.01,201.3837186207262,-43.0104496454066
2CXO J203308.7+411318,XB,LMXB,10,0.0±0.0,0.1±0.3,0.0±0.0,0.0±0.0,0.022±0.067,0.537±0.462,0.0±0.0,0.136±0.302,0.0±0.0,0.204±0.322,308.28650597692626,41.22190364684126
2CXO J133716.3-294939,XB,XB,10,0.003±0.008,0.041±0.064,0.014±0.019,0.028±0.063,0.342±0.259,0.215±0.184,0.355±0.361,0.002±0.003,0.0±0.0,0.0±0.001,204.3182966764789,-29.827600712919605
2CXO J132523.6-430009,XB,LMXB,10,0.002±0.004,0.117±0.29,0.001±0.002,0.0±0.0,0.336±0.324,0.349±0.299,0.0±0.0,0.081±0.11,0.0±0.0,0.114±0.181,201.3486740115619,-43.00259391217864
2CXO J095552.4+690306,XB,HMXB,10,0.019±0.045,0.046±0.066,0.076±0.118,0.102±0.175,0.335±0.279,0.257±0.24,0.163±0.215,0.001±0.002,0.0±0.0,0.0±0.0,148.9687348719059,69.0516941349468
2CXO J004344.6+412410,AGN,AGN,10,0.029±0.082,0.212±0.31,0.013±0.023,0.008±0.016,0.129±0.152,0.115±0.285,0.206±0.365,0.039±0.062,0.11±0.233,0.14±0.289,10.935939215574138,41.40290627746124
2CXO J132532.5-430037,AGN,QSO,10,0.364±0.189,0.286±0.151,0.041±0.052,0.034±0.057,0.168±0.155,0.031±0.042,0.065±0.096,0.002±0.004,0.0±0.0,0.008±0.021,201.3856411335644,-43.01044710869972
2CXO J053516.0-052306,YSO,Orion_V*,10,0.0±0.0,0.0±0.0,0.0±0.0,0.07±0.21,0.026±0.062,0.029±0.086,0.0±0.0,0.126±0.081,0.122±0.164,0.627±0.267,83.81690387496195,-5.385260526308642
2CXO J004242.5+405152,Seyfert,Seyfert_1,10,0.134±0.281,0.116±0.14,0.272±0.246,0.142±0.185,0.07±0.104,0.046±0.067,0.208±0.322,0.001±0.002,0.0±0.001,0.012±0.033,10.677263218723112,40.86454311338
2CXO J132538.4-430203,YSO,YSO,10,0.0±0.001,0.062±0.12,0.028±0.057,0.001±0.002,0.074±0.123,0.149±0.23,0.0±0.0,0.553±0.453,0.002±0.005,0.132±0.292,201.41015101548408,-43.0342881344104
2CXO J132527.4-430214,XB,HMXB,10,0.04±0.072,0.128±0.192,0.11±0.189,0.016±0.045,0.364±0.394,0.229±0.33,0.053±0.105,0.044±0.12,0.003±0.006,0.015±0.024,201.3643843885204,-43.037251376050406
2CXO J140228.2+541626,YSO,Orion_V*,10,0.0±0.0,0.0±0.0,0.0±0.0,0.002±0.003,0.163±0.266,0.004±0.011,0.001±0.003,0.197±0.187,0.178±0.227,0.455±0.313,210.6177113369581,54.27416265495391
2CXO J123048.4+122333,Seyfert,Seyfert_1,10,0.109±0.197,0.006±0.01,0.354±0.375,0.01±0.027,0.1±0.206,0.08±0.224,0.0±0.0,0.034±0.074,0.159±0.306,0.148±0.288,187.7020739167516,12.392537007885473
2CXO J132538.3-430205,YSO,YSO,10,0.0±0.001,0.062±0.12,0.028±0.057,0.001±0.002,0.074±0.123,0.149±0.23,0.0±0.0,0.553±0.453,0.002±0.005,0.132±0.292,201.4097349014861,-43.03482852071022
2CXO J004332.3+411040,XB,HMXB,10,0.0±0.0,0.202±0.106,0.16±0.212,0.134±0.089,0.437±0.243,0.066±0.12,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,10.884922087400412,41.17803918798158
2CXO J150116.5+014134,Seyfert,Seyfert_1,9,0.348±0.399,0.011±0.021,0.611±0.383,0.028±0.061,0.002±0.005,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,225.3190141936529,1.6928101318350977
2CXO J132529.5-430055,XB,HMXB,9,0.0±0.0,0.018±0.045,0.0±0.0,0.0±0.001,0.444±0.382,0.031±0.086,0.0±0.001,0.389±0.394,0.009±0.018,0.108±0.249,201.37316862829493,-43.0154246525148
2CXO J132529.7-430053,XB,HMXB,9,0.001±0.003,0.018±0.032,0.0±0.0,0.004±0.01,0.422±0.439,0.118±0.308,0.005±0.009,0.302±0.373,0.03±0.05,0.1±0.168,201.3739192502627,-43.014795619798335
2CXO J132530.8-430043,XB,HMXB,9,0.005±0.009,0.033±0.084,0.008±0.024,0.0±0.0,0.93±0.148,0.02±0.032,0.0±0.0,0.002±0.006,0.0±0.0,0.001±0.001,201.37853438522188,-43.012123825804125
2CXO J151349.7-590133,YSO,YSO,9,0.0±0.0,0.111±0.314,0.0±0.0,0.0±0.0,0.0±0.0,0.222±0.416,0.0±0.0,0.556±0.497,0.0±0.0,0.111±0.313,228.4572852462448,-59.0259727492753
2CXO J155625.0+662241,AGN,QSO,9,0.408±0.31,0.154±0.164,0.371±0.317,0.025±0.064,0.01±0.016,0.008±0.016,0.012±0.026,0.0±0.0,0.011±0.021,0.001±0.002,239.1043611815741,66.37808675475706
2CXO J133701.6-295128,XB,HMXB,9,0.153±0.29,0.021±0.056,0.018±0.048,0.027±0.075,0.406±0.45,0.001±0.002,0.107±0.299,0.054±0.096,0.153±0.278,0.06±0.116,204.25683081523653,-29.85786775399372
2CXO J053517.4-052320,YSO,Orion_V*,9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.001,0.002±0.005,0.0±0.0,0.221±0.231,0.042±0.05,0.734±0.224,83.82275483612761,-5.3891358590840746
2CXO J132952.7+471142,AGN,QSO,9,0.443±0.428,0.162±0.306,0.102±0.289,0.289±0.356,0.003±0.005,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,202.46974475007323,47.19516883575574
2CXO J232331.5+584746,XB,LMXB,9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,350.8812744881666,58.7961445757035
2CXO J133655.4-295510,XB,HMXB,9,0.002±0.005,0.028±0.04,0.06±0.129,0.03±0.043,0.441±0.302,0.247±0.208,0.191±0.101,0.0±0.0,0.0±0.0,0.0±0.0,204.23118417765488,-29.91947904129628
2CXO J132527.0-430159,XB,HMXB,9,0.002±0.005,0.063±0.08,0.015±0.029,0.075±0.152,0.538±0.394,0.166±0.243,0.032±0.049,0.069±0.164,0.007±0.021,0.032±0.089,201.36289565253853,-43.033118419885085
2CXO J013329.2+304508,AGN,AGN,9,0.107±0.15,0.379±0.245,0.131±0.277,0.008±0.012,0.13±0.177,0.095±0.118,0.125±0.106,0.003±0.009,0.008±0.022,0.015±0.042,23.372057904271287,30.752366072173484
2CXO J053520.7-051548,YSO,Orion_V*,9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.058±0.148,0.0±0.0,0.0±0.0,0.439±0.371,0.004±0.006,0.499±0.338,83.83647545732651,-5.263564969850296
2CXO J123048.7+122331,Seyfert,Seyfert_1,9,0.103±0.261,0.106±0.245,0.311±0.403,0.121±0.312,0.005±0.008,0.085±0.236,0.0±0.0,0.037±0.078,0.071±0.158,0.16±0.301,187.702997681402,12.392175777782644
2CXO J174835.0-270227,YSO,Orion_V*,9,0.0±0.0,0.0±0.001,0.001±0.004,0.023±0.065,0.092±0.21,0.006±0.013,0.0±0.0,0.356±0.349,0.11±0.157,0.411±0.343,267.1459362464634,-27.040882042333216
2CXO J004255.3+412557,XB,HMXB,9,0.0±0.001,0.024±0.03,0.015±0.037,0.079±0.217,0.51±0.262,0.106±0.092,0.013±0.032,0.172±0.268,0.022±0.041,0.059±0.158,10.730804674558726,41.43254312863779
2CXO J053514.0-052236,YSO,Orion_V*,9,0.0±0.0,0.0±0.0,0.064±0.182,0.016±0.045,0.022±0.063,0.166±0.296,0.008±0.023,0.335±0.374,0.025±0.051,0.363±0.338,83.8086658978554,-5.376744110095372
2CXO J013346.5+303748,XB,HMXB,9,0.021±0.042,0.151±0.245,0.042±0.065,0.122±0.285,0.332±0.322,0.144±0.199,0.142±0.303,0.045±0.116,0.0±0.0,0.001±0.003,23.44403546532777,30.63022084616889
2CXO J132523.5-430138,XB,HMXB,9,0.072±0.062,0.224±0.208,0.074±0.074,0.035±0.056,0.315±0.247,0.084±0.092,0.089±0.105,0.014±0.04,0.042±0.111,0.049±0.139,201.34800714904964,-43.02729619733508
2CXO J132532.4-430134,XB,HMXB,9,0.0±0.001,0.222±0.18,0.035±0.049,0.006±0.007,0.476±0.188,0.18±0.166,0.0±0.0,0.069±0.18,0.0±0.0,0.012±0.027,201.3852166466006,-43.02613890270235
2CXO J132525.7-430055,YSO,YSO,8,0.0±0.0,0.031±0.081,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.868±0.328,0.0±0.0,0.101±0.247,201.357272714808,-43.01545979020784
2CXO J132502.7-430243,XB,HMXB,8,0.0±0.0,0.006±0.01,0.125±0.321,0.045±0.098,0.557±0.316,0.165±0.143,0.096±0.138,0.006±0.013,0.0±0.0,0.0±0.0,201.2613433354564,-43.04532215807495
